,GeoFips,GeoName_x,per_capita_income,GeoName_y,population
197,05121,"Randolph, AR",36401,"Randolph, AR",18247
198,05123,"St. Francis, AR",30903,"St. Francis, AR",24682
199,05125,"Saline, AR",45692,"Saline, AR",123968
200,05127,"Scott, AR",32290,"Scott, AR",10164
201,05129,"Searcy, AR",31657,"Searcy, AR",7842
202,05131,"Sebastian, AR",45586,"Sebastian, AR",127590
203,05133,"Sevier, AR",32926,"Sevier, AR",16702
204,05135,"Sharp, AR",35612,"Sharp, AR",17424
205,05137,"Stone, AR",32753,"Stone, AR",12674
206,05139,"Union, AR",48669,"Union, AR",38219
207,05141,"Van Buren, AR",34482,"Van Buren, AR",16541
208,05143,"Washington, AR",43817,"Washington, AR",243216
209,05145,"White, AR",39598,"White, AR",78729
210,05147,"Woodruff, AR",45248,"Woodruff, AR",6264
211,05149,"Yell, AR",33506,"Yell, AR",21181
212,06001,"Alameda, CA",87078,"Alameda, CA",1662323
213,06003,"Alpine, CA",76175,"Alpine, CA",1119
214,06005,"Amador, CA",47721,"Amador, CA",40083
215,06007,"Butte, CA",50279,"Butte, CA",212744
216,06009,"Calaveras, CA",53026,"Calaveras, CA",46308
217,06011,"Colusa, CA",57382,"Colusa, CA",21558
218,06013,"Contra Costa, CA",92264,"Contra Costa, CA",1152333
219,06015,"Del Norte, CA",40192,"Del Norte, CA",27968
220,06017,"El Dorado, CA",72662,"El Dorado, CA",192925
221,06019,"Fresno, CA",48495,"Fresno, CA",1000918
222,06021,"Glenn, CA",52219,"Glenn, CA",28283
223,06023,"Humboldt, CA",50182,"Humboldt, CA",134977
224,06025,"Imperial, CA",44500,"Imperial, CA",180267
225,06027,"Inyo, CA",64335,"Inyo, CA",18046
226,06029,"Kern, CA",44721,"Kern, CA",901362
227,06031,"Kings, CA",41829,"Kings, CA",152692
228,06033,"Lake, CA",47144,"Lake, CA",64479
229,06035,"Lassen, CA",40490,"Lassen, CA",30016
230,06037,"Los Angeles, CA",68272,"Los Angeles, CA",9943046
231,06039,"Madera, CA",44532,"Madera, CA",157761
232,06041,"Marin, CA",145575,"Marin, CA",257332
233,06043,"Mariposa, CA",57828,"Mariposa, CA",17160
234,06045,"Mendocino, CA",54795,"Mendocino, CA",86061
235,06047,"Merced, CA",43914,"Merced, CA",279252
236,06049,"Modoc, CA",52779,"Modoc, CA",8763
237,06051,"Mono, CA",54586,"Mono, CA",14534
238,06053,"Monterey, CA",61510,"Monterey, CA",430906
239,06055,"Napa, CA",82408,"Napa, CA",135965
240,06057,"Nevada, CA",64876,"Nevada, CA",99606
241,06059,"Orange, CA",74618,"Orange, CA",3166857
242,06061,"Placer, CA",72279,"Placer, CA",402950
243,06063,"Plumas, CA",55029,"Plumas, CA",18967
244,06065,"Riverside, CA",45834,"Riverside, CA",2489188
245,06067,"Sacramento, CA",58307,"Sacramento, CA",1559146
246,06069,"San Benito, CA",60807,"San Benito, CA",64055
247,06071,"San Bernardino, CA",44831,"San Bernardino, CA",2189183
248,06073,"San Diego, CA",66266,"San Diego, CA",3332427
249,06075,"San Francisco, CA",144818,"San Francisco, CA",866606
250,06077,"San Joaquin, CA",51816,"San Joaquin, CA",767967
251,06079,"San Luis Obispo, CA",62342,"San Luis Obispo, CA",282249
252,06081,"San Mateo, CA",141841,"San Mateo, CA",758308
253,06083,"Santa Barbara, CA",67879,"Santa Barbara, CA",444766
254,06085,"Santa Clara, CA",123661,"Santa Clara, CA",1907105
255,06087,"Santa Cruz, CA",75957,"Santa Cruz, CA",269925
256,06089,"Shasta, CA",51649,"Shasta, CA",179027
257,06091,"Sierra, CA",49139,"Sierra, CA",2920
258,06093,"Siskiyou, CA",49664,"Siskiyou, CA",43245
259,06095,"Solano, CA",58688,"Solano, CA",446935
260,06097,"Sonoma, CA",71386,"Sonoma, CA",489819
261,06099,"Stanislaus, CA",48954,"Stanislaus, CA",550081
262,06101,"Sutter, CA",50730,"Sutter, CA",96385
263,06103,"Tehama, CA",46007,"Tehama, CA",64494
264,06105,"Trinity, CA",43877,"Trinity, CA",12216
265,06107,"Tulare, CA",46348,"Tulare, CA",468680
266,06109,"Tuolumne, CA",49708,"Tuolumne, CA",54515
267,06111,"Ventura, CA",67422,"Ventura, CA",841387
268,06113,"Yolo, CA",58391,"Yolo, CA",219728
269,06115,"Yuba, CA",46373,"Yuba, CA",80160
270,08001,"Adams, CO*",48115,"Adams, CO*",519883
271,08003,"Alamosa, CO",42974,"Alamosa, CO",16180
272,08005,"Arapahoe, CO",66691,"Arapahoe, CO",657452
273,08007,"Archuleta, CO",46287,"Archuleta, CO",14196
274,08009,"Baca, CO",53223,"Baca, CO",3555
275,08011,"Bent, CO",33591,"Bent, CO",5356
276,08013,"Boulder, CO*",79649,"Boulder, CO*",327171
277,08014,"Broomfield, CO*",67495,"Broomfield, CO*",72236
278,08015,"Chaffee, CO",51361,"Chaffee, CO",20661
279,08017,"Cheyenne, CO",61731,"Cheyenne, CO",1795
280,08019,"Clear Creek, CO",67132,"Clear Creek, CO",9586
281,08021,"Conejos, CO",39847,"Conejos, CO",8143
282,08023,"Costilla, CO",38430,"Costilla, CO",3921
283,08025,"Crowley, CO",23751,"Crowley, CO",5696
284,08027,"Custer, CO",45691,"Custer, CO",5183
285,08029,"Delta, CO",42127,"Delta, CO",31067
286,08031,"Denver, CO",85411,"Denver, CO",735538
287,08033,"Dolores, CO",42093,"Dolores, CO",2096
288,08035,"Douglas, CO",78980,"Douglas, CO",360750
289,08037,"Eagle, CO",87872,"Eagle, CO",54929
290,08039,"Elbert, CO",63970,"Elbert, CO",27313
291,08041,"El Paso, CO",54151,"El Paso, CO",728310
292,08043,"Fremont, CO",38952,"Fremont, CO",47867
293,08045,"Garfield, CO",62581,"Garfield, CO",60366
294,08047,"Gilpin, CO",55256,"Gilpin, CO",6235
295,08049,"Grand, CO",57476,"Grand, CO",15794
296,08051,"Gunnison, CO",51025,"Gunnison, CO",17593
297,08053,"Hinsdale, CO",49423,"Hinsdale, CO",808
298,08055,"Huerfano, CO",46859,"Huerfano, CO",6883
299,08057,"Jackson, CO",62008,"Jackson, CO",1389
300,08059,"Jefferson, CO*",68829,"Jefferson, CO*",583283
301,08061,"Kiowa, CO",66839,"Kiowa, CO",1458
302,08063,"Kit Carson, CO",47198,"Kit Carson, CO",7121
303,08065,"Lake, CO",40344,"Lake, CO",7987
304,08067,"La Plata, CO",61304,"La Plata, CO",56564
305,08069,"Larimer, CO",58725,"Larimer, CO",360428
306,08071,"Las Animas, CO",43118,"Las Animas, CO",14420
307,08073,"Lincoln, CO",35695,"Lincoln, CO",5680
308,08075,"Logan, CO",46217,"Logan, CO",21974
309,08077,"Mesa, CO",48435,"Mesa, CO",155603
310,08079,"Mineral, CO",73101,"Mineral, CO",773
311,08081,"Moffat, CO",47467,"Moffat, CO",13144
312,08083,"Montezuma, CO",46919,"Montezuma, CO",26408
313,08085,"Montrose, CO",45262,"Montrose, CO",43322
314,08087,"Morgan, CO",48701,"Morgan, CO",28941
315,08089,"Otero, CO",41333,"Otero, CO",18201
316,08091,"Ouray, CO",67263,"Ouray, CO",5001
317,08093,"Park, CO",48514,"Park, CO",18955
318,08095,"Phillips, CO",49877,"Phillips, CO",4367
319,08097,"Pitkin, CO",155067,"Pitkin, CO",17894
320,08099,"Prowers, CO",41990,"Prowers, CO",12106
321,08101,"Pueblo, CO",43196,"Pueblo, CO",169823
322,08103,"Rio Blanco, CO",52422,"Rio Blanco, CO",6342
323,08105,"Rio Grande, CO",53641,"Rio Grande, CO",11296
324,08107,"Routt, CO",85836,"Routt, CO",25560
325,08109,"Saguache, CO",40032,"Saguache, CO",6938
326,08111,"San Juan, CO",50039,"San Juan, CO",748
327,08113,"San Miguel, CO",93954,"San Miguel, CO",8105
328,08115,"Sedgwick, CO",50896,"Sedgwick, CO",2260
329,08117,"Summit, CO",77754,"Summit, CO",30631
330,08119,"Teller, CO",54587,"Teller, CO",25529
331,08121,"Washington, CO",49287,"Washington, CO",4875
332,08123,"Weld, CO*",52054,"Weld, CO*",333983
333,08125,"Yuma, CO",47285,"Yuma, CO",10047
334,09001,"Fairfield, CT",120244,"Fairfield, CT",942426
335,09003,"Hartford, CT",67938,"Hartford, CT",889226
336,09005,"Litchfield, CT",67118,"Litchfield, CT",179610
337,09007,"Middlesex, CT",71291,"Middlesex, CT",161657
338,09009,"New Haven, CT",60092,"New Haven, CT",851948
339,09011,"New London, CT",61191,"New London, CT",264999
340,09013,"Tolland, CT",59590,"Tolland, CT",150600
341,09015,"Windham, CT",50747,"Windham, CT",116540
342,10001,"Kent, DE",46600,"Kent, DE",183643
343,10003,"New Castle, DE",59955,"New Castle, DE",561531
344,10005,"Sussex, DE",54352,"Sussex, DE",241635
345,11001,"District of Columbia, DC",86567,"District of Columbia, DC",712816
346,12001,"Alachua, FL",49556,"Alachua, FL",271218
347,12003,"Baker, FL",36552,"Baker, FL",29566
348,12005,"Bay, FL",50696,"Bay, FL",171322
349,12007,"Bradford, FL",36301,"Bradford, FL",28593
350,12009,"Brevard, FL",51507,"Brevard, FL",608459
351,12011,"Broward, FL",55908,"Broward, FL",1958105
352,12013,"Calhoun, FL",32264,"Calhoun, FL",14078
353,12015,"Charlotte, FL",45606,"Charlotte, FL",194711
354,12017,"Citrus, FL",41933,"Citrus, FL",153010
355,12019,"Clay, FL",47407,"Clay, FL",221770
356,12021,"Collier, FL",103865,"Collier, FL",392973
357,12023,"Columbia, FL",38243,"Columbia, FL",72654
358,12027,"DeSoto, FL",27863,"DeSoto, FL",38520
359,12029,"Dixie, FL",30651,"Dixie, FL",17057
360,12031,"Duval, FL",51131,"Duval, FL",966728
361,12033,"Escambia, FL",47381,"Escambia, FL",322364
362,12035,"Flagler, FL",50599,"Flagler, FL",118451
363,12037,"Franklin, FL",39452,"Franklin, FL",12201
364,12039,"Gadsden, FL",38507,"Gadsden, FL",45277
365,12041,"Gilchrist, FL",37425,"Gilchrist, FL",18885
366,12043,"Glades, FL",28116,"Glades, FL",14198
367,12045,"Gulf, FL",49666,"Gulf, FL",13534
368,12047,"Hamilton, FL",29383,"Hamilton, FL",14521
369,12049,"Hardee, FL",31775,"Hardee, FL",26822
370,12051,"Hendry, FL",35546,"Hendry, FL",42813
371,12053,"Hernando, FL",41385,"Hernando, FL",198792
372,12055,"Highlands, FL",37158,"Highlands, FL",106639
373,12057,"Hillsborough, FL",51848,"Hillsborough, FL",1497957
374,12059,"Holmes, FL",34661,"Holmes, FL",19594
375,12061,"Indian River, FL",84607,"Indian River, FL",162518
376,12063,"Jackson, FL",38710,"Jackson, FL",46085
377,12065,"Jefferson, FL",44065,"Jefferson, FL",14543
378,12067,"Lafayette, FL",30032,"Lafayette, FL",8482
379,12069,"Lake, FL",46563,"Lake, FL",375492
380,12071,"Lee, FL",54707,"Lee, FL",790767
381,12073,"Leon, FL",48850,"Leon, FL",295460
382,12075,"Levy, FL",40598,"Levy, FL",42214
383,12077,"Liberty, FL",28496,"Liberty, FL",8364
384,12079,"Madison, FL",35828,"Madison, FL",18707
385,12081,"Manatee, FL",52395,"Manatee, FL",411219
386,12083,"Marion, FL",41553,"Marion, FL",373513
387,12085,"Martin, FL",89185,"Martin, FL",162088
388,12086,"Miami-Dade, FL",57213,"Miami-Dade, FL",2707303
389,12087,"Monroe, FL",106583,"Monroe, FL",73900
390,12089,"Nassau, FL",64746,"Nassau, FL",91113
391,12091,"Okaloosa, FL",54630,"Okaloosa, FL",212820
392,12093,"Okeechobee, FL",34998,"Okeechobee, FL",42297
393,12095,"Orange, FL",49390,"Orange, FL",1404396
394,12097,"Osceola, FL",39210,"Osceola, FL",385315
395,12099,"Palm Beach, FL",87478,"Palm Beach, FL",1507600
396,12101,"Pasco, FL",45461,"Pasco, FL",570412
397,12103,"Pinellas, FL",59178,"Pinellas, FL",976802
398,12105,"Polk, FL",39760,"Polk, FL",744552
399,12107,"Putnam, FL",36354,"Putnam, FL",74815
400,12109,"St. Johns, FL",73944,"St. Johns, FL",278715
401,12111,"St. Lucie, FL",43970,"St. Lucie, FL",337186
402,12113,"Santa Rosa, FL",49472,"Santa Rosa, FL",189139
403,12115,"Sarasota, FL",70884,"Sarasota, FL",443465
404,12117,"Seminole, FL",53403,"Seminole, FL",474171
405,12119,"Sumter, FL",54533,"Sumter, FL",139018
406,12121,"Suwannee, FL",35987,"Suwannee, FL",44851
407,12123,"Taylor, FL",33227,"Taylor, FL",21600
408,12125,"Union, FL",24593,"Union, FL",15182
409,12127,"Volusia, FL",46475,"Volusia, FL",561497
410,12129,"Wakulla, FL",39938,"Wakulla, FL",34319
411,12131,"Walton, FL",69862,"Walton, FL",76648
412,12133,"Washington, FL",32862,"Washington, FL",25932
413,13001,"Appling, GA",39199,"Appling, GA",18325
414,13003,"Atkinson, GA",31938,"Atkinson, GA",8393
415,13005,"Bacon, GA",38281,"Bacon, GA",11036
416,13007,"Baker, GA",43156,"Baker, GA",2971
417,13009,"Baldwin, GA",36399,"Baldwin, GA",45099
418,13011,"Banks, GA",37333,"Banks, GA",19352
419,13013,"Barrow, GA",40435,"Barrow, GA",85588
420,13015,"Bartow, GA",42734,"Bartow, GA",109426
421,13017,"Ben Hill, GA",36234,"Ben Hill, GA",16614
422,13019,"Berrien, GA",35260,"Berrien, GA",19408
423,13021,"Bibb, GA",44830,"Bibb, GA",152737
424,13023,"Bleckley, GA",36712,"Bleckley, GA",12955
425,13025,"Brantley, GA",30007,"Brantley, GA",19202
426,13027,"Brooks, GA",40221,"Brooks, GA",15357
427,13029,"Bryan, GA",56648,"Bryan, GA",40755
428,13031,"Bulloch, GA",35376,"Bulloch, GA",80839
429,13033,"Burke, GA",41973,"Burke, GA",22648
430,13035,"Butts, GA",37403,"Butts, GA",25426
431,13037,"Calhoun, GA",28426,"Calhoun, GA",6231
432,13039,"Camden, GA",39262,"Camden, GA",55388
433,13043,"Candler, GA",36613,"Candler, GA",10985
434,13045,"Carroll, GA",42058,"Carroll, GA",121633
435,13047,"Catoosa, GA",38815,"Catoosa, GA",67996
436,13049,"Charlton, GA",27192,"Charlton, GA",13430
437,13051,"Chatham, GA",51805,"Chatham, GA",289463
438,13053,"Chattahoochee, GA",33166,"Chattahoochee, GA",10551
439,13055,"Chattooga, GA",33855,"Chattooga, GA",24843
440,13057,"Cherokee, GA",56278,"Cherokee, GA",265274
441,13059,"Clarke, GA",37588,"Clarke, GA",127795
