,GeoFips,county,state,population,per_capita_income,zip,latitude,longitude
128,02164,Lake and Peninsula Borough,AK,1493,63397,99649,57.5,-157.28
129,02164,Lake and Peninsula Borough,AK,1493,63397,99653,60.2,-154.28
130,02170,Matanuska-Susitna Borough,AK,110213,50386,99629,61.58,-149.44
131,02170,Matanuska-Susitna Borough,AK,110213,50386,99645,61.62,-148.98
132,02170,Matanuska-Susitna Borough,AK,110213,50386,99652,61.46,-150.09
133,02170,Matanuska-Susitna Borough,AK,110213,50386,99654,61.52,-149.57
134,02170,Matanuska-Susitna Borough,AK,110213,50386,99667,61.93,-151.73
135,02170,Matanuska-Susitna Borough,AK,110213,50386,99674,61.74,-148.22
136,02170,Matanuska-Susitna Borough,AK,110213,50386,99676,62.45,-149.79
137,02170,Matanuska-Susitna Borough,AK,110213,50386,99683,62.69,-151.07
138,02170,Matanuska-Susitna Borough,AK,110213,50386,99687,61.36,-150.07
139,02170,Matanuska-Susitna Borough,AK,110213,50386,99688,61.89,-149.73
140,02170,Matanuska-Susitna Borough,AK,110213,50386,99694,61.62,-149.79
141,02170,Matanuska-Susitna Borough,AK,110213,50386,99729,63.01,-149.4
142,02180,Nome Census Area,AK,9909,55950,99659,63.47,-162.11
143,02180,Nome Census Area,AK,9909,55950,99671,63.47,-162.28
144,02180,Nome Census Area,AK,9909,55950,99684,64.09,-160.36
145,02180,Nome Census Area,AK,9909,55950,99739,64.63,-162.34
146,02180,Nome Census Area,AK,9909,55950,99742,63.75,-171.69
147,02180,Nome Census Area,AK,9909,55950,99753,64.94,-161.15
148,02180,Nome Census Area,AK,9909,55950,99762,64.71,-164.62
149,02180,Nome Census Area,AK,9909,55950,99769,63.68,-170.49
150,02180,Nome Census Area,AK,9909,55950,99771,64.36,-161.21
151,02180,Nome Census Area,AK,9909,55950,99772,66.02,-165.91
152,02180,Nome Census Area,AK,9909,55950,99778,65.25,-166.36
153,02180,Nome Census Area,AK,9909,55950,99783,65.61,-168.09
154,02180,Nome Census Area,AK,9909,55950,99784,64.68,-163.41
155,02180,Nome Census Area,AK,9909,55950,99785,65.34,-166.51
156,02185,North Slope Borough,AK,9294,90809,99510,70.1,-149.87
157,02185,North Slope Borough,AK,9294,90809,99519,69.22,-146.79
158,02185,North Slope Borough,AK,9294,90809,99721,68.15,-151.71
159,02185,North Slope Borough,AK,9294,90809,99723,71.28,-156.78
160,02185,North Slope Borough,AK,9294,90809,99734,70.43,-149.29
161,02185,North Slope Borough,AK,9294,90809,99747,70.12,-143.66
162,02185,North Slope Borough,AK,9294,90809,99759,69.73,-162.82
163,02185,North Slope Borough,AK,9294,90809,99766,68.7,-164.81
164,02185,North Slope Borough,AK,9294,90809,99782,70.63,-159.96
165,02185,North Slope Borough,AK,9294,90809,99789,69.83,-152.14
166,02185,North Slope Borough,AK,9294,90809,99791,70.48,-157.39
167,02188,Northwest Arctic Borough,AK,7644,52440,99727,65.98,-161.14
168,02188,Northwest Arctic Borough,AK,7644,52440,99736,66.09,-162.76
169,02188,Northwest Arctic Borough,AK,7644,52440,99749,66.98,-160.43
170,02188,Northwest Arctic Borough,AK,7644,52440,99750,67.73,-164.55
171,02188,Northwest Arctic Borough,AK,7644,52440,99751,66.93,-156.88
172,02188,Northwest Arctic Borough,AK,7644,52440,99752,67.24,-161.19
173,02188,Northwest Arctic Borough,AK,7644,52440,99761,67.57,-163.0
174,02188,Northwest Arctic Borough,AK,7644,52440,99763,66.83,-161.03
175,02188,Northwest Arctic Borough,AK,7644,52440,99770,66.59,-160.02
176,02188,Northwest Arctic Borough,AK,7644,52440,99773,66.89,-157.16
177,02188,Northwest Arctic Borough,AK,7644,52440,99786,67.08,-157.9
178,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99918,55.97,-132.74
179,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99919,55.57,-132.39
180,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99921,55.46,-132.83
181,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99922,55.2,-132.81
182,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99923,55.97,-130.04
183,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99925,55.54,-132.96
184,02198,Prince of Wales-Hyder Census Area,AK,6147,48970,99927,56.3,-133.57
185,02220,Sitka City and Borough,AK,8405,70996,99835,56.73,-135.0
186,02230,Skagway Municipality,AK,1179,66548,99840,59.57,-135.35
187,02240,Southeast Fairbanks Census Area,AK,6957,54808,99706,64.01,-144.68
188,02240,Southeast Fairbanks Census Area,AK,6957,54808,99731,64.04,-145.73
189,02240,Southeast Fairbanks Census Area,AK,6957,54808,99732,64.07,-142.01
190,02240,Southeast Fairbanks Census Area,AK,6957,54808,99737,63.7,-144.89
191,02240,Southeast Fairbanks Census Area,AK,6957,54808,99738,64.43,-141.22
192,02240,Southeast Fairbanks Census Area,AK,6957,54808,99764,63.0,-141.69
193,02240,Southeast Fairbanks Census Area,AK,6957,54808,99776,63.38,-143.39
194,02240,Southeast Fairbanks Census Area,AK,6957,54808,99779,63.13,-142.53
195,02240,Southeast Fairbanks Census Area,AK,6957,54808,99780,63.18,-143.1
196,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99566,61.45,-143.15
197,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99573,61.68,-145.14
198,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99574,60.79,-145.61
199,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99586,62.83,-143.43
200,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99588,62.1,-145.53
201,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99677,60.88,-146.65
202,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99686,61.15,-146.81
203,02261,Valdez-Cordova Census Area,AK,(NA),(NA),99693,60.85,-148.03
204,02275,Wrangell City and Borough,AK,2510,48549,99903,55.68,-132.19
205,02275,Wrangell City and Borough,AK,2510,48549,99929,56.41,-131.61
206,02282,Yakutat City and Borough,AK,637,66119,99689,59.51,-139.71
207,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99558,62.63,-160.2
208,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99590,62.89,-160.1
209,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99602,62.18,-159.84
210,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99627,63.61,-154.78
211,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99665,62.64,-159.53
212,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99675,62.97,-156.08
213,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99691,62.87,-153.87
214,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99720,66.57,-152.95
215,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99722,68.09,-145.6
216,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99724,66.39,-147.34
217,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99726,67.24,-152.27
218,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99730,65.47,-145.19
219,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99733,65.79,-144.2
220,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99740,66.56,-145.25
221,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99741,64.74,-156.85
