,GeoFips,per_capita_income
598,16045,42561
599,16047,68597
600,16049,39182
601,16051,40288
602,16053,42332
603,16055,48953
604,16057,43944
605,16059,47981
606,16061,54918
607,16063,45593
608,16065,30838
609,16067,46743
610,16069,50550
611,16071,43117
612,16073,42616
613,16075,44312
614,16077,52807
615,16079,40953
616,16081,43521
617,16083,44112
618,16085,52298
619,16087,40050
620,17001,51779
621,17003,43272
622,17005,41745
623,17007,51066
624,17009,41094
625,17011,47081
626,17013,47665
627,17015,50871
628,17017,48079
629,17019,49187
630,17021,46873
631,17023,46560
632,17025,45559
633,17027,51095
634,17029,45967
635,17031,69935
636,17033,50986
637,17035,80116
638,17037,45555
639,17039,53339
640,17041,55721
641,17043,79127
642,17045,48411
643,17047,45295
644,17049,54838
645,17051,40786
646,17053,58512
647,17055,41625
648,17057,42264
649,17059,48856
650,17061,42437
651,17063,61862
652,17065,48255
653,17067,51388
654,17069,40720
655,17071,48805
656,17073,51103
657,17075,51824
658,17077,40297
659,17079,48090
660,17081,44163
661,17083,46828
662,17085,53399
663,17087,39793
664,17089,55976
665,17091,46988
666,17093,53998
667,17095,44921
668,17097,85159
669,17099,49292
670,17101,35878
671,17103,47249
672,17105,52100
673,17107,41682
674,17109,41685
675,17111,60097
676,17113,54639
677,17115,52196
678,17117,45948
679,17119,51433
680,17121,46966
681,17123,51165
682,17125,47178
683,17127,44089
684,17129,51028
685,17131,53966
686,17133,61366
687,17135,40180
688,17137,43763
689,17139,69297
690,17141,50110
691,17143,54609
692,17145,41366
693,17147,59952
694,17149,47052
695,17151,33286
696,17153,43533
697,17155,66839
698,17157,41919
699,17159,46318
700,17161,48492
701,17163,49646
702,17165,44321
703,17167,52891
704,17169,49505
705,17171,47152
706,17173,45745
707,17175,51267
708,17177,46534
709,17179,51920
710,17181,48028
711,17183,44533
712,17185,47543
713,17187,47232
714,17189,53789
715,17191,44127
716,17193,52223
717,17195,48757
718,17197,57700
719,17199,48625
720,17201,47404
721,17203,56797
722,18001,42452
723,18003,50327
724,18005,55804
725,18007,48450
726,18009,41561
727,18011,80314
728,18013,51505
729,18015,46792
730,18017,44305
731,18019,48210
732,18021,41941
733,18023,43027
734,18025,38276
735,18027,47919
736,18029,52778
737,18031,48033
738,18033,48937
739,18035,40948
740,18037,59524
741,18039,49875
742,18041,45375
743,18043,60233
744,18045,44685
745,18047,51316
746,18049,46613
747,18051,48976
748,18053,43997
749,18055,44437
750,18057,80426
751,18059,55084
752,18061,46468
753,18063,55169
754,18065,43016
755,18067,44945
756,18069,45969
757,18071,47673
758,18073,48987
759,18075,42194
760,18077,48068
761,18079,45380
762,18081,53081
763,18083,49156
764,18085,51687
765,18087,45115
766,18089,49229
767,18091,46274
768,18093,45897
769,18095,42283
770,18097,59264
771,18099,45277
772,18101,44160
773,18103,37669
774,18105,46693
775,18107,44415
776,18109,47894
777,18111,46215
778,18113,44436
779,18115,44555
780,18117,41640
781,18119,45143
782,18121,41554
783,18123,40140
784,18125,44603
785,18127,57654
786,18129,54646
787,18131,50558
788,18133,41404
789,18135,44027
790,18137,46992
791,18139,49889
792,18141,51141
793,18143,41981
794,18145,48628
795,18147,47890
796,18149,38910
797,18151,48032
798,18153,39903
799,18155,35647
800,18157,41446
801,18159,50127
802,18161,43626
803,18163,50033
804,18165,41997
805,18167,41895
806,18169,46847
807,18171,49845
808,18173,60188
809,18175,43519
810,18177,45499
811,18179,45704
812,18181,47633
813,18183,49256
814,19001,56422
815,19003,59569
